"額定功率(W)","相關認證(註1)","備註","型號","廠牌","登錄有效期限","登錄編號","輸入電壓(V)","輸出電壓(V)"
"3500","PL104-PV0050","","SE3500","Solaredge","2018-03-12","PL104-PV0050","350-350","單相220"
"4000","PL104-PV0051","","SE4000","Solaredge","2018-03-12","PL104-PV0051","350-350","單相220"
"5000","PL104-PV0052","","SE5000","Solaredge","2018-03-12","PL104-PV0052","350-350","單相220"
"5000","PL104-PV0115","","PV-5000W-V","PrimeVOLT","2018-09-24","PL104-PV0115","100-580","單相220"
"6000","PL104-PV0116","","GW6000-DT","GOODWE","2018-02-28","PL104-PV0116","200-800","三相400"
"3000","PL104-PV0117","","GW3000-SS","GOODWE","2018-02-28","PL104-PV0117","125-500","單相230"
"500000","PL104-PV0126","","EQX0500UV320XN","Satcon","2018-02-06","PL104-PV0126","500-850","三相320"
"500000","PL104-PV0127","","EQX0500UV320XP","Satcon","2018-02-06","PL104-PV0127","500-850","三相320"
"630000","PL104-PV0128","","EQX0630UV360XN","Satcon","2018-02-06","PL104-PV0128","585-850","三相360"
"630000","PL104-PV0129","","EQX0630UV360XP","Satcon","2018-02-06","PL104-PV0129","585-850","三相360"
"100000","PL104-PV0130","","PVS-100","Satcon","2018-02-06","PL104-PV0130","315-600","三相480"
"250000","PL104-PV0131","","PVS-250","Satcon","2018-02-06","PL104-PV0131","320-600","三相480"
"500000","PL104-PV0132","","PVS-500-xfmrless","Satcon","2018-02-06","PL104-PV0132","320-600","三相200"
"10000","PL104-PV0139","","GW10K-DT","GOODWE","2018-02-28","PL104-PV0139","260-1000","三相400"
"3000","PL104-PV0142","","RPI-H3","DELTA","2018-08-31","PL104-PV0142","125-550","單相220"
"5000","PL104-PV0143","","RPI-H5","DELTA","2018-08-31","PL104-PV0143","200-1000","單相220"
